;;;;;;;;Office_Country_Code;;
HSVIMT;1439144448;nan;40;2457200;SAR;1437960192;JED;SA;MED;4403.81
535C6B;1412762112;nan;40;2456996;EUR;1411393536;AMS;DE;MAD;0.01
4HR2YV;1438278144;B;40;2457228;EUR;1439677440;ATH;ZA;JNB;7.26
IM6QFV;1424336128;nan;40;2457039;USD;1422530432;CPH;AT;VIE;0.8
W1YGAF;1436564224;nan;40;2457081;EUR;1435874176;BRU;GR;HER;0.18
SS20IE;1446538112;nan;40;2457237;COP;1444672384;BOG;CO;TLV;4403.81
Y8OCXL;1418937984;nan;40;2456926;USD;1413437696;FCO;NO;JFK;0.38
BUK4W4;1424765696;nan;40;2457148;RUB;1424822400;MUC;NO;OSL;4403.81
8T9CFW;1435278464;nan;20;2457139;SAR;1436536576;CDG;SA;RUH;2.75
VWM306;1439690624;L;40;2457230;EUR;1441870208;VVI;ES;MAD;0.1
7SQQPC;1444377856;B;40;2457233;EUR;1444721536;SCL;AT;MAD;4403.81
D48HTU;1437744128;L;40;2457185;BRL;1438508288;BSB;BR;BSB;0.13
094AXN;1431282816;B;40;2457056;SEK;1431240192;AMS;SE;ARN;4403.81
BDLVX0;1450112768;nan;40;2457361;EUR;1449891456;NCE;FR;BOD;386616.53
VW8C68;1452680832;nan;20;2457397;EUR;1453308800;CAI;DE;MUC;4403.81
5QFTWX;1438561152;nan;40;2457218;EUR;1439021184;CDG;FR;CDG;0.61
C3SYNS;1436293504;L;40;2457088;EUR;1434459776;SYD;IT;LTN;0.17
CGP0A6;1435324160;nan;30;2457133;EUR;1434149632;MUC;ES;HEL;77.77
94NCZ2;1436827392;nan;40;2457177;EUR;1435622400;TLV;FR;GVA;0.36
LR60SQ;1433732224;nan;20;2457151;GBP;1434992640;LOS;PT;LGW;0.21
FCYQQM;1437596032;nan;40;2457201;PLN;1438840064;CPH;PL;WAW;4403.81
H4WR5U;1407223424;nan;40;2456744;EUR;1407429504;FLR;IT;VCE;0.1
D93PSH;1416747648;L;40;2456718;EUR;1413938048;TLV;FR;TXL;0.01
FJ363A;1446471680;L;20;2457235;GBP;1446447104;NRT;GB;LHR;0.02
4AD86O;1439465472;nan;40;2457182;USD;1438253568;MAD;US;BIO;0.07
XTAFSD;1419994624;nan;40;2456907;EUR;1414633088;MAD;ES;LCG;3.43
3F392S;1415938816;nan;30;2456914;DKK;1415629312;KTM;US;JFK;704.32
1GNSUR;1444031232;nan;40;2457219;EUR;1443115264;CPH;ES;GDL;7.8
8U6075;1440615808;nan;40;2457210;SAR;1437716736;CDG;SA;MED;0.08
ZBJ9LX;1408407424;nan;40;2456875;EUR;1408609920;FCO;AU;SYD;1272.51
XRQ1J0;1397335040;nan;40;2456720;NOK;1396851072;SVG;NO;HUY;0.03
LOVOIL;1408766592;L;40;2456676;EUR;1406800896;PPT;GB;LHR;0.01
6F8S1S;1436181504;nan;40;2457071;EUR;1435343616;IBZ;FR;ORY;4403.81
222IVG;1455685504;nan;40;2457397;EUR;1456648448;LJU;RO;OTP;0.02
RSUMJ9;1442784768;B;40;2457248;USD;1442310656;FLL;US;JFK;4403.81
CNUM34;1439381504;nan;40;2457207;EUR;1440501632;CDG;FR;XJN;0.28
W4AGC1;1401031808;L;40;2456760;NOK;1399140352;PMI;NO;OSL;0.09
VMQSU1;1438831616;nan;40;2457167;GBP;1440843264;LHR;GB;LGW;8.12
VE6SOP;1438630912;nan;40;2457187;EUR;1438288128;SAL;SA;LAX;0.68
QDRGGY;1451964544;nan;40;2457364;EUR;1450447616;MAD;SA;OTP;711.48
FCMYCH;1446166656;nan;20;2457307;COP;1449958016;LHR;DK;TLV;0.04
UB30MI;1441775616;nan;40;2457171;EUR;1436805632;LCA;FR;FRA;0.06
AUE9DW;1423714688;nan;40;2457015;SEK;1425728384;BMA;SE;GOT;4403.81
Q6POXJ;1450556032;nan;40;2457263;EUR;1451325952;LIN;FR;CDG;0.01
QW682G;1423930752;nan;40;2457064;EUR;1424753152;ATH;NO;BGO;0.49
FECS1K;1417241856;nan;40;2456981;EUR;1419669376;SAW;CL;SCL;0.11
8G578C;1426288128;nan;40;2457024;DKK;1426011776;JTR;SE;CPH;4.04
1HFTEW;1437812864;nan;40;2457089;EUR;1432806272;LGA;ES;MIA;1025.5
XVOXD9;1423696896;nan;40;2457015;GBP;1425244544;PTP;GB;MAN;55.3
Q9FS01;1443707008;nan;40;2457279;EUR;1444357504;OSL;ES;MSQ;8794.51
LYG037;1440198400;nan;40;2457207;EUR;1440866304;VIE;IT;MXP;0.15
64NJDX;1428581760;nan;40;2457054;SEK;1426111616;LIN;SE;ARN;0.87
1FRAK0;1442530560;L;30;2457040;USD;1440855936;VKO;US;SVO;2354.52
KFXLDB;1410711040;nan;40;2456796;EUR;1407856256;FCO;DE;DUS;10254.89
UYAEXM;1434997504;nan;40;2457105;EUR;1429934720;LPA;ES;BIO;125.43
TOX91Z;1463538304;nan;40;2457429;NOK;1462424064;ARN;SE;LLA;19.68
DM3YVK;1454304000;nan;40;2457401;NOK;1450143232;FCO;NO;OSL;0.02
4QFIKC;1437588480;nan;20;2457240;ZAR;1439296256;SCL;QA;DOH;242.0
XGTSR5;1431547904;nan;30;2457194;NOK;1434954368;OSL;NO;KRS;0.5
2D6X93;1440315904;nan;40;2457174;EUR;1443058176;LHR;ZA;JNB;0.03
LV7E3B;1414591488;nan;40;2456649;EUR;1411684608;BEY;FR;JED;11385.63
GZRW1J;1441603456;nan;40;2457159;EUR;1440637824;SXF;IT;VCE;2912.12
1QF3F1;1442540160;B;20;2457125;USD;1440593408;SEA;SA;MIA;0.71
LDYOIW;1445879552;nan;40;2457257;EUR;1444246016;LCA;GR;OTP;49.72
1XFBM1;1442690560;nan;40;2457275;EUR;1439389696;MUC;DE;ORY;0.08
XFFY4H;1447158784;L;40;2456983;BRL;1445269888;GRU;BR;EZE;0.1
J2YM0W;1438440192;L;40;2457046;NOK;1437457024;KRS;NO;OSL;0.1
9DMN7W;1439209472;nan;40;2457186;EUR;1437730816;PEI;ES;UIO;0.39
FMFYHG;1412912128;nan;40;2456933;USD;1414388352;NBO;DK;PRG;0.02
NTMFUF;1432534912;nan;30;2457130;GBP;1434226944;ARN;GB;LHR;0.33
8W6K7Z;1400204032;nan;40;2456722;SEK;1401101056;CDG;SE;ARN;0.22
RZDS8I;1434884736;nan;30;2457116;EUR;1436935552;LAD;AU;LIS;0.68
6E5VK8;1428909312;nan;20;2457117;XOF;1429692416;MUC;DK;LIS;0.15
1WL3KL;1439281536;nan;40;2457001;EUR;1435326976;PMI;FR;CDG;0.56
D9ZCUH;1443160064;L;40;2457186;GBP;1440936576;CAI;SA;RUH;0.03
C06OSR;1397769600;nan;40;2456679;AUD;1395196288;GVA;DE;DUS;0.04
DQP8W0;1412618752;L;40;2456895;NOK;1411777024;ARN;NO;OSL;0.14
VMM5LN;1401339008;nan;40;2456633;USD;1398132096;OSL;IS;RKD;1.21
SL6383;1444452864;L;40;2456946;EUR;1440730880;PUJ;FR;JFK;3584.21
331G3I;1438225792;nan;40;2457151;ZAR;1437322880;ATH;GB;HEL;1.29
5EG5KD;1430675456;nan;40;2457031;SEK;1429873024;ZAG;PL;WAW;18.75
GIBFUP;1429481472;nan;30;2457099;USD;1430682496;LIS;US;FNC;11296.26
BAA69D;1417714816;nan;40;2456903;NOK;1417089024;OSL;NO;LGG;27.58
37GOT2;1438813184;nan;20;2457156;SAR;1436759296;BEY;SA;RUH;0.25
SDU4HW;1436044160;nan;20;2457213;SAR;1435592960;CAI;SA;JED;0.14
43LJPH;1437905280;nan;40;2457171;EUR;1438253312;TRN;IT;VCE;0.31
84O6EV;1446377472;nan;40;2456881;EUR;1444120704;TLV;DE;TXL;0.5
Y3VI8Q;1437134336;nan;40;2457162;EUR;1438661632;EZE;ES;BIO;2.53
NKJBQA;1439713024;B;40;2457203;DKK;1442955392;LHR;GR;ATH;23421.2
7A1E1Y;1443305984;L;40;2457052;EUR;1442257920;SYD;DE;TXL;4403.81
YA216U;1414150144;nan;40;2456767;EUR;1413229312;GRU;FR;CDG;301845.53
ETDTO8;1426314496;nan;40;2457072;EUR;1424807040;LAX;IT;AMS;92.77
71K1HL;1444217472;nan;40;2457219;GBP;1443748096;TPA;GB;MAN;4403.81
E0SBOD;1403544064;nan;40;2456797;EUR;1404098176;MAD;FI;HEL;0.23
IF5PBK;1444564608;nan;40;2457243;EUR;1445195392;SOF;GR;JED;0.02
RSKPLB;1416554624;nan;40;2456715;EUR;1409580160;LPA;ES;MSN;0.03
I01NCP;1445533568;nan;40;2457223;GBP;1445193472;LHR;GB;LGW;4403.81
GJZ3K5;1456515328;nan;40;2457359;EUR;1456219520;MAD;FI;TLL;0.97
7DNN7H;1414166016;nan;30;2456731;EUR;1412584960;OSL;NO;AMS;0.02
KGS7PS;1444401024;nan;40;2457242;EUR;1442246784;KTM;DE;JFK;0.01
GC7ODJ;1426035840;nan;40;2457072;EUR;1427350528;PER;BE;DUS;1.32
LDH3G2;1425928704;nan;40;2457018;EUR;1424340096;IST;FR;CDG;4403.81
Q199KZ;1435879552;nan;40;2457205;MXN;1435635072;PMV;EE;TLL;0.02
63KSF8;1438829056;L;20;2457090;CHF;1437076992;LIS;CH;GVA;0.01
9OGCXX;1416278272;nan;20;2456907;EUR;1415224448;OSL;NO;KRS;0.01
ZWG8PC;1438413056;nan;40;2457267;USD;1440929152;ALA;CZ;PRG;0.02
LKLTLE;1443117184;nan;40;2457175;BRL;1437554304;SAL;US;SOF;1.56
OLSQQP;1422993280;nan;40;2456825;EUR;1415610112;FLL;DE;JFK;0.05
0P4PS9;1414306176;nan;40;2456910;BRL;1412515072;LAX;BR;GRU;2.4
X5DXWI;1441865856;B;30;2457185;NOK;1440254720;ARN;NO;KRS;3.37
96J3J2;1436169088;L;40;2457172;EUR;1437503744;PTP;FR;ORY;1.24
13S2GG;1448850944;L;20;2457159;AUD;1446556160;LAX;ES;MAD;0.77
LKRA1I;1446664320;B;30;2457235;EUR;1446917376;LJU;DK;CPH;8.68
ZJPTI1;1428102528;nan;40;2457114;EUR;1427655552;BOG;HR;RDZ;1.17
14ZTDG;1442909568;nan;40;2457210;SAR;1442245120;JED;SA;RUH;1262.23
19WXF7;1443630208;nan;40;2457333;XOF;1443788928;FCO;FR;TUN;166.68
KQ9N6Z;1444358016;L;40;2457076;EUR;1440895360;OPO;PT;DME;94.11
DSW9PR;1422165504;nan;40;2457097;USD;1416553600;FCO;US;JFK;4403.81
WIK6T2;1444165632;L;20;2457230;GBP;1443901952;HKG;KZ;MSQ;0.2
35Q15T;1438597120;nan;40;2457179;USD;1438594432;GIG;PT;LIS;0.01
Q04YN5;1435253504;nan;40;2457235;EUR;1437761792;PTY;GR;BCN;0.01
VJR5US;1413383936;L;40;2456899;EUR;1412946560;OPO;FR;TXL;0.01
I0JUS3;1442055424;nan;40;2457256;BRL;1442862720;NBO;HR;ZAG;4403.81
JH2TA0;1424335488;nan;40;2457016;SEK;1424451456;OSL;SE;GOT;0.03
6UY4IK;1412391296;L;40;2456794;AUD;1413793792;AMS;AU;SYD;83.19
P9VW4P;1450855680;nan;20;2457371;EUR;1451176192;LHR;AT;VIE;0.18
H4X41L;1442258560;nan;40;2457240;EUR;1445743616;AMS;PL;WAW;0.02
Y6W3MJ;1425420800;nan;40;2456987;EUR;1424696448;LJU;ES;BCN;139.09
9OKIJ2;1414248704;nan;40;2457001;SAR;1413888896;LYS;LV;RIX;0.05
DLRC28;1427564160;nan;40;2457133;GBP;1427155072;NBO;GB;MAN;0.04
VKQHJA;1425684736;nan;40;2456884;AUD;1422954752;SCL;AU;SYD;0.01
JQGHPF;1440711808;L;40;2457144;EUR;1438961408;KIX;SA;ADL;33.78
Q9P4CV;1444271872;nan;40;2457150;AUD;1443544832;DAC;AU;CPT;2.25
4U068O;1422753536;B;40;2457033;NOK;1421256960;ARN;SE;AGH;0.14
0ZOZP8;1448298240;nan;20;2457228;EUR;1449129728;CDG;PT;LIS;0.05
QINRUF;1425899008;nan;40;2457103;NOK;1423111680;FCO;DE;HEL;0.03
12HQ2K;1443467392;nan;40;2457134;EUR;1437133952;FCO;DE;FRA;0.02
3YQFGP;1440785152;nan;40;2457189;SAR;1440091136;GVA;SA;ATH;6.28
K7MSL1;1440165248;nan;20;2457194;EGP;1442390144;DMM;MX;MEX;0.28
KY7E1O;1464659840;B;40;2457441;GBP;1463923968;ATH;GB;LCA;50.51
Q8S5TM;1439589632;nan;40;2457147;GBP;1439850368;ARN;GB;LIS;4403.81
PR47VD;1442028800;B;30;2457244;HUF;1443254656;AMS;NO;DXB;3252.54
5X4J1J;1411867776;nan;40;2456931;GBP;1410774656;LHR;GB;SOF;0.02
XOOQ09;1405372032;nan;40;2456691;EUR;1404799104;AMS;NL;MUC;0.01
OFLIYO;1437770880;B;20;2457185;EUR;1436017280;LIS;ES;IBZ;0.05
U15VEZ;1395017600;nan;40;2456535;EUR;1394615296;LAX;FR;GVA;32.04
THZ7SN;1430542592;nan;40;2457068;USD;1429305600;MXP;IL;TLV;1059.53
PHPURS;1440512640;nan;10;2457181;USD;1439961088;LAX;US;JFK;58355.42
NMRLFG;1433515520;nan;40;2457043;SEK;1430318336;UME;FR;MSQ;5.01
SFKU5X;1443546880;nan;40;2457224;EUR;1442797696;OPO;ES;BCN;859.86
YUMXPN;1453413120;nan;40;2457328;EUR;1453236864;PUJ;FR;CDG;266.97
NOFIJ1;1419794816;nan;40;2456834;USD;1417505792;LAX;US;TLV;3.84
CF1V5I;1440583808;B;40;2457209;USD;1440790656;BMA;PL;LJU;0.01
AASWA6;1438306304;nan;30;2457182;GBP;1437153920;ARN;GB;MAN;0.03
RW5NHN;1439511296;nan;40;2457085;EUR;1438368128;LHR;GR;ATH;3352.35
FGXR7U;1441046784;nan;40;2457124;EUR;1435031040;LIS;ES;MAD;0.13
VYXDIB;1398336896;L;40;2456640;EUR;1397398784;OSL;NO;TUO;0.01
JI4GIH;1442039168;nan;40;2457220;SAR;1439647488;FCO;SA;RUH;41.06
CY1QXU;1438872192;nan;40;2457206;EUR;1438584192;LCA;AU;JED;4403.81
6HMACX;1433413376;nan;20;2457117;SEK;1430388608;CDG;DE;HAM;4.42
9QH482;1436925568;nan;40;2457150;USD;1435736320;PMV;VE;CCS;0.02
WQWRJW;1426270592;nan;40;2457074;ZAR;1424177792;SYD;IT;MXP;0.01
D5DQ3A;1442485504;nan;40;2457214;EUR;1444809216;LAD;ES;SVO;82987.85
ERQ26I;1407164160;nan;40;2456828;AUD;1404544384;MUC;AU;MEL;0.04
6SYJDN;1429653376;nan;40;2457107;USD;1430610560;GLA;ZA;LCY;0.01
XW2H23;1447248896;nan;40;2457239;EUR;1443758720;MNL;FR;CDG;1.67
IS8UFA;1440536960;nan;40;2457121;EUR;1439988864;FLR;SA;SVO;2710.63
346TIE;1436767616;nan;30;2457163;GBP;1437158784;LHR;GB;LHR;401.01
0KCA7Y;1441527296;nan;40;2457179;EUR;1439991296;LIM;ES;BCN;0.1
OWP6MT;1440687872;nan;40;2457225;EUR;1440652032;ATH;ES;MAD;0.01
8OL7CH;1440766848;nan;40;2457207;GBP;1441641472;LJU;HR;ZAG;0.81
ZTNMGF;1438145792;nan;40;2457211;SAR;1438060672;HAM;SA;JED;3.02
22NO7I;1401209088;nan;40;2456758;EUR;1401450368;AMS;DE;DUS;0.01
5RVYHN;1428635776;nan;30;2457083;INR;1428187776;SXF;IT;CPT;0.01
FVQZYW;1416153344;nan;40;2456928;EUR;1414947200;LJU;BE;BRU;523.76
ZY5MJ2;1456752256;nan;20;2457402;EUR;1456284160;ATL;FR;CDG;44.16
6KP941;1441670016;nan;20;2457180;EUR;1441536768;JFK;DE;TXL;4403.81
IV6B9E;1434911872;nan;40;2457163;SEK;1436344448;RIX;LV;GOT;20752.22
4I5UXZ;1432073216;nan;20;2457081;USD;1430878976;JFK;US;JFK;0.02
FUOH1J;1445496192;L;40;2457172;DKK;1442944640;LTN;IL;TLV;0.04
3I3HB9;1459158400;nan;30;2457333;GBP;1456835072;FCO;GB;LTN;1976249.5
S76AO6;1451653888;nan;40;2457337;EUR;1448293376;PUJ;GR;LAX;18.84
LHFSOD;1436880384;nan;40;2457154;SAR;1436523136;DAC;FI;DOH;11.07
9P5ECY;1446611072;nan;40;2457238;RUB;1444189952;BNE;BR;CAI;63600.96
4RL9OS;1440137728;nan;40;2457195;SGD;1441399808;OWB;PT;LIS;0.07
B78M9F;1445513472;nan;40;2457265;RUB;1445836800;FCO;BG;SVO;58876.88
JR99IT;1446304256;nan;40;2457170;EUR;1443308416;CGK;FR;CDG;0.13
IEGA02;1435994240;nan;40;2457091;EUR;1435356672;KIX;ES;MAD;3716.21
PQKJB1;1419995008;nan;40;2456911;SEK;1419036672;MMX;SE;YYZ;0.14
FQHWB7;1428889472;nan;40;2457041;EUR;1426554752;BOO;ES;LPA;0.43
0S5CKS;1432502528;nan;40;2457050;EUR;1429503616;FNC;PT;EZE;0.12
D376ZA;1432017024;nan;40;2457129;USD;1431849600;JFK;US;UIO;0.03
6RXA36;1420375168;nan;40;2456929;EUR;1416673920;PUJ;IT;ACC;0.01
5XOTEV;1446386176;L;40;2457191;INR;1442366976;SXF;SA;RUH;0.01
TC3F5H;1431869824;nan;40;2457106;USD;1432026240;LAX;BG;FNC;892.59
VQBTJQ;1413138304;nan;10;2456379;DKK;1408632192;PMI;DK;CPH;4.07
A2PACF;1436016128;L;40;2457157;EUR;1437179392;KIX;ES;BCN;16.1
V43447;1436283648;nan;40;2457173;GBP;1437830016;LHR;GB;BCN;0.15
XDRCOC;1441474304;nan;40;2456874;EUR;1435290240;LAX;FR;MSQ;11.37
DVYMA6;1441112832;nan;40;2457210;EUR;1440203904;NCE;FR;HEL;1.3
MNDXVH;1446680576;B;40;2457118;EUR;1444566400;LAX;IT;DMB;0.02
